Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,0.1u,C14663
C1_2,0603,1,0.1u,C14663
C1_3,0603,1,0.1u,C14663
C1_4,0603,1,0.1u,C14663
C1_5,0603,1,0.1u,C14663
C1_6,0603,1,0.1u,C14663
C1_7,0603,1,0.1u,C14663
C1_8,0603,1,0.1u,C14663
J1,PinHeader_1x12_P2.54mm_Horizontal,1,Conn_01x12,
J1_2,PinHeader_1x12_P2.54mm_Horizontal,1,Conn_01x12,
J1_3,PinHeader_1x12_P2.54mm_Horizontal,1,Conn_01x12,
J1_4,PinHeader_1x12_P2.54mm_Horizontal,1,Conn_01x12,
J1_5,PinHeader_1x12_P2.54mm_Horizontal,1,Conn_01x12,
J1_6,PinHeader_1x12_P2.54mm_Horizontal,1,Conn_01x12,
J1_7,PinHeader_1x12_P2.54mm_Horizontal,1,Conn_01x12,
J1_8,PinHeader_1x12_P2.54mm_Horizontal,1,Conn_01x12,
"R1, R2, R7, R8",0603,4,20,C22950
"R1_2, R2_2, R7_2, R8_2",0603,4,20,C22950
"R1_2, R2_2, R7_2, R8_3",0603,4,20,C22950
"R1_2, R2_2, R7_2, R8_4",0603,4,20,C22950
"R1_2, R2_2, R7_2, R8_5",0603,4,20,C22950
"R1_2, R2_2, R7_2, R8_6",0603,4,20,C22950
"R1_2, R2_2, R7_2, R8_7",0603,4,20,C22950
"R1_2, R2_2, R7_2, R8_8",0603,4,20,C22950
"R3, R4, R5, R6",0603,4,2k2,C4190
"R3_2, R4_2, R5_2, R6_2",0603,4,2k2,C4190
"R3_2, R4_2, R5_2, R6_3",0603,4,2k2,C4190
"R3_2, R4_2, R5_2, R6_4",0603,4,2k2,C4190
"R3_2, R4_2, R5_2, R6_5",0603,4,2k2,C4190
"R3_2, R4_2, R5_2, R6_6",0603,4,2k2,C4190
"R3_2, R4_2, R5_2, R6_7",0603,4,2k2,C4190
"R3_2, R4_2, R5_2, R6_8",0603,4,2k2,C4190
"U1, U2",SOP-8_3.9x4.9mm_P1.27mm,2,TPC8408,C5338304
"U1_2, U2_2",SOP-8_3.9x4.9mm_P1.27mm,2,TPC8408,C5338304
"U1_2, U2_3",SOP-8_3.9x4.9mm_P1.27mm,2,TPC8408,C5338304
"U1_2, U2_4",SOP-8_3.9x4.9mm_P1.27mm,2,TPC8408,C5338304
"U1_2, U2_5",SOP-8_3.9x4.9mm_P1.27mm,2,TPC8408,C5338304
"U1_2, U2_6",SOP-8_3.9x4.9mm_P1.27mm,2,TPC8408,C5338304
"U1_2, U2_7",SOP-8_3.9x4.9mm_P1.27mm,2,TPC8408,C5338304
"U1_2, U2_8",SOP-8_3.9x4.9mm_P1.27mm,2,TPC8408,C5338304
U3,TSSOP-14_4.4x5mm_P0.65mm,1,74HC00PW,C6807
U3_2,TSSOP-14_4.4x5mm_P0.65mm,1,74HC00PW,C6807
U3_3,TSSOP-14_4.4x5mm_P0.65mm,1,74HC00PW,C6807
U3_4,TSSOP-14_4.4x5mm_P0.65mm,1,74HC00PW,C6807
U3_5,TSSOP-14_4.4x5mm_P0.65mm,1,74HC00PW,C6807
U3_6,TSSOP-14_4.4x5mm_P0.65mm,1,74HC00PW,C6807
U3_7,TSSOP-14_4.4x5mm_P0.65mm,1,74HC00PW,C6807
U3_8,TSSOP-14_4.4x5mm_P0.65mm,1,74HC00PW,C6807
